CONTEXT: ЕГ-1-050525-М | КС-2 №3 | Раздел 1 || 3;44;Арматура Ø8 A240, с учетом доставки;Материал;т;0.876;89,653.46;78,515.72
CONTEXT: ЕГ-1-050525-М | КС-2 №3 | Раздел 1 || 4;45;Арматура Ø10 A500, с учетом доставки;Материал;т;3;89,653.46;268,960.38
CONTEXT: ЕГ-1-050525-М | КС-2 №3 | Раздел 1 || 5;46;Арматура Ø12 A500, с учетом доставки;Материал;т;0.54;89,653.46;48,412.87
CONTEXT: ЕГ-1-050525-М | КС-2 №3 | Раздел 1 || 6;47;Арматура Ø16 A500, с учетом доставки;Материал;т;0.92;89,653.46;82,480.51
CONTEXT: ЕГ-1-050525-М | КС-2 №3 | Раздел 1 || 7;48;Арматура Ø20 A500, с учетом доставки;Материал;т;0.567;82,480.51;46,794.62
CONTEXT: ЕГ-1-050525-М | КС-2 №3 | Раздел 1 || 8;49;Арматура Ø25 A500, с учетом доставки;Материал;т;0.283;82,480.51;23,351.88
CONTEXT: ЕГ-1-050525-М | КС-2 №3 | Раздел 1 || 9;50;Арматура Ø28 A500, с учетом доставки;Материал;т;0.168;82,480.51;13,854.74
CONTEXT: ЕГ-1-050525-М | КС-2 №3 | Раздел 1 || 10;51;Арматура Ø32 A500, с учетом доставки;Материал;т;0.541;82,480.51;44,602.36
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 48;232;Арматура В8 А2400, с учетом доставки;Материал;т;0,234;56 196,67;13 743,00
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 49;233;Арматура В8 А500, с учетом доставки;Материал;т;0,925;56 666,67;52 416,67
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 50;234;Арматура Ф10 А500, с учетом доставки;Материал;т;12,34;33 257,40;641 658,53
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 51;235;Арматура Ф12 А500, с учетом доставки;Материал;т;0,234;49 500,00;11 563,00
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 52;236;Арматура Ф16 А500, с учетом доставки;Материал;т;9,538;49 685,71;473 805,51
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 53;237;Арматура Ф20 А500, с учетом доставки;Материал;т;1,285;48 063,83;61 578,00
CONTEXT: БГ-1-050255-М | АКТ за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1. Устройство вертикальных конструкций || 3;3;Арматура Вр10 А240, с учетом доставки;Материал;т;1,83;;562 500.00
CONTEXT: БГ-1-050255-М | АКТ за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1. Устройство вертикальных конструкций || 4;4;Арматура Вр12 А500, с учетом доставки;Материал;т;0,37;;192 820.87
CONTEXT: БГ-1-050255-М | АКТ за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1. Устройство вертикальных конструкций || 5;5;Арматура Вр14 А500, с учетом доставки;Материал;т;0,24;;148 333.33
CONTEXT: БГ-1-050255-М | АКТ за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1. Устройство вертикальных конструкций || 6;6;Арматура Вр16 А500, с учетом доставки;Материал;т;0,32;;204 166.67
CONTEXT: БГ-1-050255-М | АКТ за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1. Устройство вертикальных конструкций || 7;7;Арматура Вр18 А500, с учетом доставки;Материал;т;0,18;;123 200.00
CONTEXT: БГ-1-050255-М | АКТ за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1. Устройство вертикальных конструкций || 8;8;Арматура Вр20 А500, с учетом доставки;Материал;т;0,11;;83 125.00
CONTEXT: БГ-1-050255-М | АКТ за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1. Устройство вертикальных конструкций || 9;9;Арматура Вр22 А500, с учетом доставки;Материал;т;0,44;;313 950.00
CONTEXT: [Не указан] | [Раздел 2. Устройство монолитных железобетонных плит] | [Не указан] || 23;41;Арматура ВР А240, с учетом доставки;Материалы;т;0,924;56 666,67;52 364,00
CONTEXT: [Не указан] | [Раздел 2. Устройство монолитных железобетонных плит] | [Не указан] || 24;;Арматура ВР А500, с учетом доставки;Материалы;т;12,194;52 000,00;634 088,00
