CONTEXT: ЕГ-1-050525-М | Акт за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1 || ;2;Арматура Вр-I A240, с учетом доставки;Материалы;т;2,04;79 444,44;161 038,89
CONTEXT: ЕГ-1-050525-М | Акт за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1 || ;3;Арматура Вр-I A500, с учетом доставки;Материалы;т;2,55;89 111,11;227 222,22
CONTEXT: ЕГ-1-050525-М | Акт за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1 || ;4;Арматура Вр-I A500, с учетом доставки;Материалы;т;0,36;331 611,11;119 379,99
CONTEXT: ЕГ-1-050525-М | Акт за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1 || ;5;Арматура Вр-I A500, с учетом доставки;Материалы;т;0,36;0,00;4 073,60
CONTEXT: ЕГ-1-050525-М | Акт за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1 || ;6;Арматура Вр-I A500, с учетом доставки;Материалы;т;1,00;357 611,11;29 579,99
CONTEXT: ЕГ-1-050525-М | Акт за Сентябрь 2025 О ПРИЕМКЕ ВЫПОЛНЕННЫХ РАБОТ | Раздел 1 || ;7;Арматура Вр-I A500, с учетом доставки;Материалы;т;0,55;0,00;8 463,91
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 14;198;Арматура Ø8 A240, с учетом доставки;Материалы;т;0,245;56 166,67;13 760,83
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 15;;Арматура A500, с учетом доставки;Субподрядчики;т;;2 100,00;0,00
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 16;199;Арматура Ø10 A500, с учетом доставки;Материалы;т;1;53 246,16;53 246,16
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 17;;Арматура A500, с учетом доставки;Субподрядчики;т;12,196;0,00;0,00
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 18;201;Арматура Ø12 A500, с учетом доставки;Материалы;т;0,378;49 500,00;18 711,00
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 19;;Арматура Ø16 A500, с учетом доставки;Субподрядчики;т;3,931;409 504,13;460 181,35
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 20;202;Арматура Ø16 A500, с учетом доставки;Материалы;т;1;356,30;356,30
CONTEXT: [Номер договора] | [Название Акта] | [Раздел] || 21;;Арматура Ø20 A500, с учетом доставки;Субподрядчики;т;1,784;410 683,04;85 005,49
CONTEXT: Неизвестно || 49;232;Арматура ВР 8А240, с учетом доставки;Материал;т;0,925;56 666,67;52 418,67
CONTEXT: Неизвестно || 50;233;Арматура Ø5 А500, с учетом доставки;Материал;т;12,34;32 000,00;641 860,00
CONTEXT: Неизвестно || 51;235;Арматура Ø12 А500, с учетом доставки;Материал;т;0,234;49 500,00;11 583,00
CONTEXT: Неизвестно || 52;236;Арматура Ø16 А500, с учетом доставки;Материал;т;9,538;49 963,51;473 063,13
CONTEXT: Неизвестно || 53;237;Арматура Ø20 А500, с учетом доставки;Материал;т;1,285;48 083,83;61 763,08
